[20190314_085800 / views.py:11663]
fname_Src_CSV	44_5.1_10_rawdata.(AUDJPY).(Period-D1).(NumOfUnits-2000).(Bars-ALL-20190311_135946).20190311_135752.csv
slice by	through
this file	no-44.[ups-downs-in_BB].[v-1.0].(AUDJPY-D1).(20190314_085800).csv
pair	AUDJPY
timeframe	D1
start	2012.07.02 00:00
end	2019.03.11 00:00
bars	2000



[20190314_085800 / views.py:11682]


[lo_UU]==============================
s.n.	e0.dateTime	e1.dateTime	e0.CP	e1.CP	e0.BB_M2S	e0.BB_M1S	e0.BB_Main	e0.BB_1S	e0.BB_2S
1	2012.07.03 00:00	2012.07.04 00:00	82.024	82.028	78.155	79.185	80.216	81.247	82.277
2	2012.07.04 00:00	2012.07.05 00:00	82.028	82.249	78.268	79.322	80.375	81.428	82.481
3	2012.07.10 00:00	2012.07.11 00:00	81.105	81.577	79.266	80.102	80.938	81.774	82.610
4	2012.07.17 00:00	2012.07.18 00:00	80.970	81.565	79.375	80.182	80.989	81.795	82.602
5	2012.07.18 00:00	2012.07.19 00:00	81.565	81.922	79.615	80.354	81.092	81.831	82.569
6	2012.07.26 00:00	2012.07.27 00:00	81.276	82.115	79.981	80.561	81.141	81.721	82.301
7	2012.07.27 00:00	2012.07.28 00:00	82.115	82.248	79.972	80.559	81.146	81.733	82.320
8	2012.07.31 00:00	2012.08.01 00:00	82.172	82.273	79.922	80.576	81.230	81.883	82.537
9	2012.08.14 00:00	2012.08.15 00:00	82.693	82.838	80.406	81.282	82.157	83.033	83.909
10	2012.08.15 00:00	2012.08.16 00:00	82.838	83.200	80.678	81.477	82.275	83.073	83.871
11	2012.09.11 00:00	2012.09.12 00:00	81.147	81.365	79.623	80.516	81.409	82.302	83.196
12	2012.10.04 00:00	2012.10.05 00:00	80.284	80.563	79.761	80.554	81.347	82.140	82.933
13	2012.10.09 00:00	2012.10.10 00:00	79.790	80.240	79.380	80.175	80.970	81.766	82.561
14	2012.10.10 00:00	2012.10.11 00:00	80.240	80.643	79.458	80.151	80.844	81.537	82.230
15	2012.10.13 00:00	2012.10.15 00:00	80.252	80.580	79.495	80.060	80.626	81.191	81.756
16	2012.10.15 00:00	2012.10.16 00:00	80.580	80.964	79.578	80.070	80.563	81.055	81.548
17	2012.10.16 00:00	2012.10.17 00:00	80.964	81.633	79.658	80.093	80.528	80.963	81.399
18	2012.10.17 00:00	2012.10.18 00:00	81.633	82.256	79.592	80.072	80.552	81.032	81.511
19	2012.10.24 00:00	2012.10.25 00:00	82.489	83.079	79.110	80.019	80.928	81.837	82.746
20	2012.10.30 00:00	2012.10.31 00:00	82.542	82.705	79.403	80.456	81.509	82.563	83.616
21	2012.10.31 00:00	2012.11.01 00:00	82.705	83.298	79.645	80.650	81.656	82.661	83.666
22	2012.11.01 00:00	2012.11.02 00:00	83.298	83.579	79.891	80.861	81.831	82.801	83.771
23	2012.11.10 00:00	2012.11.12 00:00	82.512	82.824	81.696	82.222	82.748	83.274	83.800
24	2012.11.14 00:00	2012.11.15 00:00	83.555	83.787	81.924	82.405	82.886	83.367	83.848
25	2012.11.17 00:00	2012.11.19 00:00	84.104	84.572	82.049	82.573	83.098	83.623	84.148
26	2012.11.19 00:00	2012.11.20 00:00	84.572	84.662	82.022	82.613	83.205	83.797	84.389
27	2012.11.20 00:00	2012.11.21 00:00	84.662	85.303	82.001	82.655	83.308	83.962	84.616
28	2012.11.21 00:00	2012.11.22 00:00	85.303	85.578	81.943	82.697	83.451	84.205	84.960
29	2012.11.22 00:00	2012.11.23 00:00	85.578	85.908	81.894	82.749	83.603	84.458	85.312
30	2012.11.23 00:00	2012.11.24 00:00	85.908	86.100	81.835	82.799	83.763	84.728	85.692
31	2012.11.29 00:00	2012.11.30 00:00	85.651	85.949	81.867	83.121	84.374	85.628	86.882
32	2012.11.30 00:00	2012.12.01 00:00	85.949	85.964	81.955	83.230	84.505	85.780	87.054
33	2012.12.05 00:00	2012.12.06 00:00	85.933	86.492	83.154	84.143	85.131	86.119	87.107
34	2012.12.06 00:00	2012.12.07 00:00	86.492	86.560	83.560	84.437	85.314	86.191	87.068
35	2012.12.11 00:00	2012.12.12 00:00	86.560	87.376	84.767	85.311	85.854	86.397	86.940
36	2012.12.12 00:00	2012.12.13 00:00	87.376	88.068	84.882	85.438	85.994	86.550	87.106
37	2012.12.18 00:00	2012.12.19 00:00	88.348	88.590	84.729	85.693	86.657	87.621	88.584
38	2012.12.22 00:00	2012.12.24 00:00	87.644	87.947	85.168	86.137	87.107	88.077	89.047
39	2012.12.26 00:00	2012.12.27 00:00	88.593	89.178	85.659	86.546	87.434	88.322	89.209
40	2012.12.27 00:00	2012.12.28 00:00	89.178	89.286	85.839	86.721	87.603	88.485	89.367
41	2012.12.31 00:00	2013.01.01 00:00	89.619	90.091	86.289	87.172	88.056	88.940	89.824
42	2013.01.01 00:00	2013.01.02 00:00	90.091	91.677	86.407	87.321	88.235	89.150	90.064
43	2013.01.04 00:00	2013.01.05 00:00	91.814	92.363	86.357	87.662	88.968	90.274	91.579
44	2013.01.09 00:00	2013.01.10 00:00	92.391	93.213	86.357	88.062	89.767	91.473	93.178
45	2013.01.10 00:00	2013.01.11 00:00	93.213	94.215	86.355	88.183	90.011	91.839	93.667
46	2013.01.17 00:00	2013.01.18 00:00	94.192	94.365	88.108	89.949	91.790	93.631	95.473
47	2013.01.18 00:00	2013.01.19 00:00	94.365	94.635	88.543	90.311	92.079	93.847	95.615
48	2013.01.24 00:00	2013.01.25 00:00	94.092	94.939	91.143	92.185	93.227	94.268	95.310
49	2013.01.29 00:00	2013.01.30 00:00	94.798	94.931	92.024	92.910	93.796	94.682	95.569
50	2013.01.30 00:00	2013.01.31 00:00	94.931	94.997	92.301	93.121	93.941	94.761	95.582
51	2013.01.31 00:00	2013.02.01 00:00	94.997	95.784	92.782	93.445	94.108	94.772	95.435
52	2013.02.01 00:00	2013.02.02 00:00	95.784	96.541	93.006	93.642	94.278	94.914	95.550
53	2013.02.02 00:00	2013.02.04 00:00	96.541	96.755	92.927	93.685	94.444	95.203	95.962
54	2013.02.04 00:00	2013.02.05 00:00	96.755	96.895	92.756	93.664	94.571	95.479	96.387
55	2013.02.11 00:00	2013.02.12 00:00	95.822	96.074	93.237	94.248	95.260	96.272	97.284
56	2013.02.12 00:00	2013.02.13 00:00	96.074	96.733	93.300	94.316	95.332	96.348	97.364
57	2013.02.18 00:00	2013.02.19 00:00	96.793	96.828	94.383	95.161	95.940	96.718	97.496
