[20181001_111515 / libfx.py:7029]
source = 44_3.2_15_file-io.EURJPY.Period-H1.Days-5000.Bars-120000.20180903_135341.2018-07.csv
log file = op_2-2.detect.highs-lows.v-3.EURJPY-Period-H1.20181001_111515.log

lo_Highs	lo_Lows	lenOf_LO_BarDatas
102	77	521
0.196	0.148	1.000

[20181001_111515 / libfx.py:7076]
<highs>
datetime(local)	start	current	diff
2018.07.02 10:00	129.2300	129.2920	0.0620
2018.07.02 13:00	129.2960	129.1800	-0.1160
2018.07.03 07:00	128.5800	128.9740	0.3940
2018.07.03 11:00	128.9800	128.9280	-0.0520
2018.07.03 13:00	128.9270	128.9330	0.0060
2018.07.03 18:00	129.1540	129.3310	0.1770
2018.07.04 13:00	128.8290	128.8310	0.0020
2018.07.05 01:00	128.6410	128.6420	0.0010
2018.07.05 03:00	128.6420	128.8770	0.2350
2018.07.05 05:00	128.8780	128.7580	-0.1200
2018.07.05 10:00	128.7580	128.7480	-0.0100
2018.07.05 16:00	128.6610	129.3810	0.7200
2018.07.05 20:00	129.3340	129.3160	-0.0180
2018.07.05 22:00	129.3160	129.5210	0.2050
2018.07.06 09:00	129.3630	129.2700	-0.0930
2018.07.06 11:00	129.2750	129.3480	0.0730
2018.07.06 17:00	129.5700	129.4010	-0.1690
2018.07.06 19:00	129.4010	129.5420	0.1410
2018.07.06 23:00	129.5800	129.8000	0.2200
2018.07.07 01:00	129.7890	129.6720	-0.1170
2018.07.07 03:00	129.6720	129.7100	0.0380
2018.07.09 12:00	129.5530	129.8890	0.3360
2018.07.09 14:00	129.8890	129.8980	0.0090
2018.07.09 17:00	129.8980	129.9380	0.0400
2018.07.09 19:00	129.9410	129.9910	0.0500
2018.07.09 22:00	129.9900	130.1380	0.1480
2018.07.10 01:00	130.1380	130.1230	-0.0150
2018.07.10 03:00	130.1220	130.1760	0.0540
2018.07.10 05:00	130.1780	130.1860	0.0080
2018.07.10 07:00	130.1890	130.2130	0.0240
2018.07.10 11:00	130.2140	130.4180	0.2040
2018.07.10 13:00	130.4190	130.4940	0.0750
2018.07.10 15:00	130.4960	130.4980	0.0020
2018.07.11 05:00	130.3750	130.7080	0.3330
2018.07.11 14:00	130.2070	130.1970	-0.0100
2018.07.11 16:00	130.1950	130.1910	-0.0040
2018.07.11 18:00	130.1860	130.1500	-0.0360
2018.07.12 00:00	130.5920	130.4440	-0.1480
2018.07.12 03:00	130.4450	130.7420	0.2970
2018.07.12 05:00	130.7410	130.7570	0.0160
