[20190325_083512 / views.py:13218]
fname_Src_CSV	44_5.1_10_rawdata.(USDJPY).(Period-D1).(NumOfUnits-2000).(Bars-ALL-20190325_082029).20190318_092307.csv
slice by	through
this file	no-44.[ups-downs-in_BB].[v-1.0].(USDJPY-D1).(20190325_083511).csv
pair	USDJPY
timeframe	D1
start	2012.06.01 00:00
end	2019.03.25 00:00
bars	2036



[20190325_083512 / views.py:13237]


[lo_UU]==============================
s.n.	e0.dateTime	e1.dateTime	e0.CP	e1.CP	e0.BB_M2S	e0.BB_M1S	e0.BB_Main	e0.BB_1S	e0.BB_2S
1	2012.06.04 00:00	2012.06.05 00:00	78.263	78.661	78.010	78.653	79.296	79.939	80.581
2	2012.06.05 00:00	2012.06.06 00:00	78.661	79.083	77.952	78.593	79.233	79.874	80.514
3	2012.06.06 00:00	2012.06.07 00:00	79.083	79.572	77.942	78.570	79.197	79.824	80.451
4	2012.06.07 00:00	2012.06.08 00:00	79.572	79.611	77.973	78.572	79.170	79.768	80.366
5	2012.06.18 00:00	2012.06.19 00:00	78.908	79.023	77.995	78.516	79.036	79.557	80.077
6	2012.06.19 00:00	2012.06.20 00:00	79.023	79.358	78.004	78.504	79.004	79.504	80.004
7	2012.06.20 00:00	2012.06.21 00:00	79.358	80.273	78.008	78.503	78.998	79.493	79.987
8	2012.06.21 00:00	2012.06.22 00:00	80.273	80.490	77.919	78.478	79.037	79.596	80.155
9	2012.07.07 00:00	2012.07.09 00:00	79.600	79.605	78.599	79.091	79.583	80.075	80.567
10	2012.07.25 00:00	2012.07.26 00:00	78.221	78.243	77.993	78.550	79.106	79.663	80.219
11	2012.07.26 00:00	2012.07.27 00:00	78.243	78.637	77.909	78.467	79.025	79.582	80.140
12	2012.08.11 00:00	2012.08.13 00:00	78.248	78.310	78.009	78.188	78.367	78.546	78.725
13	2012.08.13 00:00	2012.08.14 00:00	78.310	78.795	78.007	78.181	78.354	78.528	78.701
14	2012.08.14 00:00	2012.08.15 00:00	78.795	78.864	77.976	78.174	78.371	78.569	78.766
15	2012.08.15 00:00	2012.08.16 00:00	78.864	79.261	77.945	78.170	78.395	78.620	78.844
16	2012.08.16 00:00	2012.08.17 00:00	79.261	79.513	77.868	78.158	78.447	78.736	79.026
17	2012.08.17 00:00	2012.08.18 00:00	79.513	79.551	77.780	78.146	78.512	78.877	79.243
18	2012.08.24 00:00	2012.08.25 00:00	78.650	78.673	77.823	78.284	78.745	79.206	79.667
19	2012.09.08 00:00	2012.09.10 00:00	78.213	78.286	77.790	78.246	78.703	79.159	79.616
20	2012.09.14 00:00	2012.09.15 00:00	78.322	78.374	77.646	77.991	78.336	78.681	79.026
21	2012.09.15 00:00	2012.09.17 00:00	78.374	78.810	77.646	77.991	78.337	78.682	79.027
22	2012.09.28 00:00	2012.09.29 00:00	77.795	77.884	77.381	77.754	78.127	78.500	78.873
23	2012.09.29 00:00	2012.10.01 00:00	77.884	78.057	77.429	77.751	78.073	78.395	78.717
24	2012.10.09 00:00	2012.10.10 00:00	78.197	78.316	77.541	77.867	78.193	78.519	78.845
25	2012.10.10 00:00	2012.10.11 00:00	78.316	78.507	77.577	77.872	78.168	78.463	78.759
26	2012.10.13 00:00	2012.10.15 00:00	78.429	78.763	77.585	77.881	78.177	78.473	78.769
27	2012.10.15 00:00	2012.10.16 00:00	78.763	78.900	77.563	77.885	78.208	78.530	78.852
28	2012.10.18 00:00	2012.10.19 00:00	79.233	79.376	77.556	77.956	78.356	78.757	79.157
29	2012.10.24 00:00	2012.10.25 00:00	79.822	80.161	77.699	78.250	78.801	79.352	79.903
30	2012.10.27 00:00	2012.10.29 00:00	79.637	79.709	77.797	78.408	79.018	79.629	80.239
31	2012.10.31 00:00	2012.11.01 00:00	79.814	80.084	77.994	78.597	79.200	79.803	80.406
32	2012.11.01 00:00	2012.11.02 00:00	80.084	80.503	78.123	78.709	79.295	79.880	80.466
33	2012.11.13 00:00	2012.11.14 00:00	79.483	80.293	79.172	79.509	79.846	80.183	80.519
34	2012.11.14 00:00	2012.11.15 00:00	80.293	81.184	79.168	79.519	79.870	80.220	80.571
35	2012.11.20 00:00	2012.11.21 00:00	81.607	82.413	78.851	79.549	80.248	80.946	81.645
36	2012.11.29 00:00	2012.11.30 00:00	82.000	82.513	78.840	79.973	81.107	82.240	83.373
37	2012.12.05 00:00	2012.12.06 00:00	82.100	82.428	80.215	80.994	81.772	82.550	83.329
38	2012.12.06 00:00	2012.12.07 00:00	82.428	82.616	80.747	81.333	81.919	82.506	83.092
39	2012.12.11 00:00	2012.12.12 00:00	82.380	82.886	81.534	81.871	82.207	82.543	82.880
40	2012.12.12 00:00	2012.12.13 00:00	82.886	83.493	81.724	82.007	82.291	82.574	82.857
41	2012.12.18 00:00	2012.12.19 00:00	83.970	84.530	81.386	82.012	82.637	83.263	83.888
42	2012.12.22 00:00	2012.12.24 00:00	84.242	84.694	81.453	82.266	83.080	83.894	84.708
43	2012.12.26 00:00	2012.12.27 00:00	85.344	86.058	81.475	82.463	83.451	84.440	85.428
44	2012.12.29 00:00	2012.12.31 00:00	86.005	86.369	81.692	82.862	84.032	85.202	86.372
45	2012.12.31 00:00	2013.01.01 00:00	86.369	86.719	81.765	82.992	84.220	85.447	86.674
46	2013.01.01 00:00	2013.01.02 00:00	86.719	87.212	81.886	83.159	84.432	85.705	86.978
47	2013.01.04 00:00	2013.01.05 00:00	87.790	88.151	82.464	83.809	85.153	86.497	87.842
48	2013.01.09 00:00	2013.01.10 00:00	87.780	88.142	83.202	84.600	85.998	87.396	88.794
49	2013.01.10 00:00	2013.01.11 00:00	88.142	89.325	83.424	84.815	86.207	87.598	88.989
50	2013.01.17 00:00	2013.01.18 00:00	89.390	89.962	85.173	86.383	87.593	88.804	90.014
51	2013.01.18 00:00	2013.01.19 00:00	89.962	90.069	85.425	86.625	87.824	89.024	90.223
52	2013.01.24 00:00	2013.01.25 00:00	89.892	90.954	86.757	87.688	88.619	89.551	90.482
53	2013.01.30 00:00	2013.01.31 00:00	91.176	91.211	87.300	88.370	89.441	90.511	91.582
54	2013.01.31 00:00	2013.02.01 00:00	91.211	92.052	87.587	88.610	89.634	90.657	91.680
55	2013.02.01 00:00	2013.02.02 00:00	92.052	92.769	87.729	88.788	89.847	90.907	91.966
56	2013.02.02 00:00	2013.02.04 00:00	92.769	92.781	87.755	88.917	90.079	91.241	92.402
57	2013.02.04 00:00	2013.02.05 00:00	92.781	93.318	87.677	88.964	90.251	91.539	92.826
58	2013.02.05 00:00	2013.02.06 00:00	93.318	93.461	87.614	89.037	90.459	91.882	93.305
59	2013.02.06 00:00	2013.02.07 00:00	93.461	93.551	87.612	89.143	90.674	92.205	93.737
60	2013.02.11 00:00	2013.02.12 00:00	93.288	93.392	88.394	89.931	91.467	93.003	94.539
61	2013.02.12 00:00	2013.02.13 00:00	93.392	93.531	88.522	90.077	91.633	93.189	94.744
62	2013.02.15 00:00	2013.02.16 00:00	93.392	93.471	89.917	91.099	92.282	93.464	94.647
63	2013.02.16 00:00	2013.02.18 00:00	93.471	93.932	90.314	91.388	92.461	93.534	94.607
64	2013.02.22 00:00	2013.02.23 00:00	93.307	93.338	91.918	92.524	93.130	93.735	94.341
65	2013.02.28 00:00	2013.03.01 00:00	92.352	92.791	91.938	92.560	93.182	93.804	94.426
66	2013.03.01 00:00	2013.03.02 00:00	92.791	93.534	91.900	92.524	93.148	93.772	94.396
67	2013.03.06 00:00	2013.03.07 00:00	93.567	94.409	91.979	92.596	93.214	93.831	94.448
68	2013.03.07 00:00	2013.03.08 00:00	94.409	96.119	91.926	92.595	93.265	93.934	94.603
69	2013.03.13 00:00	2013.03.14 00:00	96.125	96.213	91.083	92.500	93.917	95.334	96.751
70	2013.03.18 00:00	2013.03.19 00:00	95.053	95.081	91.278	92.805	94.331	95.858	97.384
71	2013.03.19 00:00	2013.03.20 00:00	95.081	95.549	91.384	92.901	94.418	95.936	97.453
72	2013.04.04 00:00	2013.04.05 00:00	96.373	97.155	92.869	93.806	94.743	95.680	96.617
73	2013.04.05 00:00	2013.04.06 00:00	97.155	97.522	92.725	93.760	94.795	95.829	96.864
74	2013.04.06 00:00	2013.04.08 00:00	97.522	98.885	92.547	93.704	94.860	96.017	97.173
75	2013.04.08 00:00	2013.04.09 00:00	98.885	98.999	92.132	93.581	95.030	96.479	97.928
76	2013.04.09 00:00	2013.04.10 00:00	98.999	99.505	91.839	93.527	95.215	96.903	98.591
77	2013.04.10 00:00	2013.04.11 00:00	99.505	99.551	91.581	93.509	95.437	97.366	99.294
78	2013.04.18 00:00	2013.04.19 00:00	98.210	99.247	92.131	94.389	96.646	98.903	101.161
79	2013.04.19 00:00	2013.04.20 00:00	99.247	99.523	92.384	94.639	96.895	99.151	101.407
80	2013.04.23 00:00	2013.04.24 00:00	99.343	99.375	93.534	95.606	97.678	99.749	101.821
81	2013.04.24 00:00	2013.04.25 00:00	99.375	99.482	94.318	96.151	97.984	99.817	101.650
82	2013.04.27 00:00	2013.04.29 00:00	98.064	98.149	97.029	97.819	98.609	99.400	100.190
83	2013.05.02 00:00	2013.05.03 00:00	98.021	99.087	96.953	97.740	98.528	99.316	100.103
84	2013.05.03 00:00	2013.05.04 00:00	99.087	99.024	96.974	97.740	98.507	99.274	100.041
85	2013.05.04 00:00	2013.05.06 00:00	99.024	99.304	97.003	97.742	98.481	99.220	99.959
86	2013.05.09 00:00	2013.05.10 00:00	99.308	101.792	97.173	97.919	98.665	99.412	100.158
87	2013.05.14 00:00	2013.05.15 00:00	102.034	102.442	96.466	97.882	99.298	100.714	102.129
88	2013.05.17 00:00	2013.05.18 00:00	102.970	103.184	96.129	97.947	99.766	101.584	103.402
89	2013.05.21 00:00	2013.05.22 00:00	102.552	103.507	96.490	98.453	100.415	102.378	104.340
90	2013.05.25 00:00	2013.05.27 00:00	101.280	101.062	98.202	99.720	101.239	102.757	104.275
91	2013.05.27 00:00	2013.05.28 00:00	101.062	102.345	98.463	99.900	101.337	102.775	104.212
92	2013.05.30 00:00	2013.05.31 00:00	100.923	100.978	99.407	100.541	101.676	102.811	103.946
93	2013.06.08 00:00	2013.06.10 00:00	97.511	99.135	97.416	99.143	100.871	102.598	104.325
94	2013.06.17 00:00	2013.06.18 00:00	94.788	95.594	93.284	95.880	98.476	101.072	103.667
95	2013.06.27 00:00	2013.06.28 00:00	98.510	99.325	93.649	95.253	96.857	98.461	100.065
96	2013.07.01 00:00	2013.07.02 00:00	99.735	100.411	93.490	95.253	97.016	98.780	100.543
97	2013.07.04 00:00	2013.07.05 00:00	100.015	100.881	93.274	95.310	97.347	99.383	101.419
98	2013.07.05 00:00	2013.07.06 00:00	100.881	101.154	93.332	95.469	97.606	99.743	101.880
99	2013.07.17 00:00	2013.07.18 00:00	99.721	100.611	97.610	98.618	99.625	100.633	101.640
100	2013.07.23 00:00	2013.07.24 00:00	99.764	100.165	98.713	99.386	100.059	100.733	101.406
101	2013.07.30 00:00	2013.07.31 00:00	98.037	98.325	97.696	98.636	99.576	100.515	101.455
102	2013.07.31 00:00	2013.08.01 00:00	98.325	99.211	97.616	98.527	99.438	100.349	101.260
103	2013.08.12 00:00	2013.08.13 00:00	96.566	98.208	95.553	96.901	98.250	99.598	100.946
104	2013.08.17 00:00	2013.08.19 00:00	97.605	97.976	95.872	96.803	97.733	98.664	99.595
105	2013.08.21 00:00	2013.08.22 00:00	97.670	98.611	95.804	96.728	97.653	98.577	99.502
106	2013.08.28 00:00	2013.08.29 00:00	97.700	98.439	95.868	96.695	97.522	98.349	99.176
107	2013.09.02 00:00	2013.09.03 00:00	99.363	99.792	96.458	97.181	97.905	98.629	99.352
108	2013.09.13 00:00	2013.09.14 00:00	99.324	99.346	97.333	98.142	98.952	99.762	100.572
109	2013.09.14 00:00	2013.09.16 00:00	99.346	98.789	97.369	98.179	98.989	99.799	100.609
110	2013.09.16 00:00	2013.09.17 00:00	98.789	99.339	97.397	98.201	99.004	99.807	100.611
111	2013.09.19 00:00	2013.09.20 00:00	99.479	99.622	97.816	98.492	99.169	99.845	100.521
112	2013.09.25 00:00	2013.09.26 00:00	98.706	98.958	98.386	98.861	99.336	99.811	100.286
113	2013.10.09 00:00	2013.10.10 00:00	97.191	98.088	96.479	97.358	98.238	99.118	99.998
114	2013.10.10 00:00	2013.10.11 00:00	98.088	98.296	96.490	97.333	98.176	99.018	99.861
115	2013.10.11 00:00	2013.10.12 00:00	98.296	98.550	96.492	97.318	98.144	98.970	99.796
116	2013.10.15 00:00	2013.10.16 00:00	98.593	98.863	96.715	97.350	97.984	98.618	99.252
117	2013.10.19 00:00	2013.10.21 00:00	97.762	98.147	96.734	97.287	97.841	98.394	98.947
118	2013.10.21 00:00	2013.10.22 00:00	98.147	98.163	96.736	97.285	97.835	98.385	98.935
119	2013.10.29 00:00	2013.10.30 00:00	97.863	98.257	96.753	97.280	97.808	98.335	98.862
120	2013.10.30 00:00	2013.10.31 00:00	98.257	98.295	96.860	97.364	97.869	98.373	98.877
121	2013.10.31 00:00	2013.11.01 00:00	98.295	98.758	97.005	97.471	97.936	98.401	98.867
122	2013.11.06 00:00	2013.11.07 00:00	98.680	99.230	97.054	97.567	98.080	98.593	99.106
123	2013.11.09 00:00	2013.11.11 00:00	99.084	99.289	96.992	97.585	98.177	98.770	99.363
124	2013.11.11 00:00	2013.11.12 00:00	99.289	99.598	96.991	97.623	98.254	98.885	99.516
125	2013.11.14 00:00	2013.11.15 00:00	99.930	100.150	96.910	97.706	98.502	99.298	100.094
126	2013.11.15 00:00	2013.11.16 00:00	100.150	100.182	97.003	97.824	98.646	99.467	100.288
127	2013.11.21 00:00	2013.11.22 00:00	100.988	101.091	97.840	98.580	99.320	100.059	100.799
128	2013.11.22 00:00	2013.11.23 00:00	101.091	101.258	97.877	98.669	99.461	100.254	101.046
129	2013.11.23 00:00	2013.11.25 00:00	101.258	101.694	97.937	98.773	99.609	100.446	101.282
130	2013.11.27 00:00	2013.11.28 00:00	102.129	102.212	97.991	99.034	100.077	101.120	102.163
131	2013.11.28 00:00	2013.11.29 00:00	102.212	102.301	98.141	99.205	100.269	101.333	102.397
132	2013.11.29 00:00	2013.11.30 00:00	102.301	102.415	98.278	99.364	100.450	101.536	102.622
133	2013.11.30 00:00	2013.12.02 00:00	102.415	102.851	98.354	99.482	100.610	101.738	102.866
134	2013.12.06 00:00	2013.12.07 00:00	102.797	102.843	99.335	100.386	101.436	102.486	103.536
135	2013.12.07 00:00	2013.12.09 00:00	102.843	103.097	99.515	100.548	101.581	102.614	103.647
136	2013.12.12 00:00	2013.12.13 00:00	102.949	103.140	100.536	101.334	102.131	102.929	103.726
137	2013.12.13 00:00	2013.12.14 00:00	103.140	103.221	101.009	101.651	102.293	102.935	103.578
138	2013.12.18 00:00	2013.12.19 00:00	103.007	104.184	101.824	102.237	102.649	103.062	103.475
139	2013.12.19 00:00	2013.12.20 00:00	104.184	104.385	101.846	102.312	102.778	103.244	103.710
140	2013.12.23 00:00	2013.12.24 00:00	104.025	104.329	101.844	102.458	103.072	103.686	104.299
141	2013.12.24 00:00	2013.12.25 00:00	104.329	104.410	101.864	102.516	103.167	103.819	104.471
142	2013.12.25 00:00	2013.12.26 00:00	104.410	104.751	101.844	102.545	103.245	103.946	104.647
143	2013.12.26 00:00	2013.12.27 00:00	104.751	104.954	101.832	102.591	103.350	104.109	104.868
144	2013.12.27 00:00	2013.12.28 00:00	104.954	105.159	101.858	102.665	103.473	104.281	105.089
145	2014.01.08 00:00	2014.01.09 00:00	104.822	104.933	103.262	103.877	104.492	105.107	105.722
146	2014.01.14 00:00	2014.01.15 00:00	103.674	104.450	103.561	104.066	104.571	105.076	105.581
147	2014.01.27 00:00	2014.01.28 00:00	102.744	102.790	102.438	103.230	104.021	104.813	105.604
148	2014.02.06 00:00	2014.02.07 00:00	101.778	102.397	100.752	101.860	102.968	104.077	105.185
149	2014.02.11 00:00	2014.02.12 00:00	102.371	102.505	100.807	101.685	102.564	103.442	104.320
150	2014.02.17 00:00	2014.02.18 00:00	101.902	102.372	101.317	101.720	102.122	102.524	102.926
151	2014.02.20 00:00	2014.02.21 00:00	102.175	102.666	101.376	101.722	102.068	102.413	102.759
152	2014.03.04 00:00	2014.03.05 00:00	102.007	102.431	101.542	101.842	102.142	102.442	102.742
153	2014.03.05 00:00	2014.03.06 00:00	102.431	103.079	101.542	101.849	102.155	102.461	102.768
154	2014.03.06 00:00	2014.03.07 00:00	103.079	103.453	101.461	101.826	102.190	102.555	102.920
155	2014.03.10 00:00	2014.03.11 00:00	103.188	103.302	101.333	101.854	102.375	102.896	103.416
156	2014.03.15 00:00	2014.03.17 00:00	101.387	101.616	101.147	101.777	102.407	103.037	103.667
157	2014.03.19 00:00	2014.03.20 00:00	101.553	102.409	100.857	101.552	102.247	102.942	103.637
158	2014.03.24 00:00	2014.03.25 00:00	102.239	102.247	100.886	101.580	102.273	102.967	103.661
159	2014.03.25 00:00	2014.03.26 00:00	102.247	102.341	100.924	101.610	102.295	102.981	103.666
160	2014.03.28 00:00	2014.03.29 00:00	102.728	102.827	101.045	101.704	102.363	103.022	103.681
161	2014.03.29 00:00	2014.03.31 00:00	102.827	102.998	101.055	101.703	102.350	102.998	103.645
162	2014.03.31 00:00	2014.04.01 00:00	102.998	103.579	101.096	101.712	102.327	102.943	103.559
163	2014.04.01 00:00	2014.04.02 00:00	103.579	103.717	101.058	101.700	102.343	102.985	103.627
164	2014.04.02 00:00	2014.04.03 00:00	103.717	103.885	100.997	101.683	102.369	103.055	103.741
165	2014.04.11 00:00	2014.04.12 00:00	101.628	101.642	101.257	101.945	102.633	103.321	104.009
166	2014.04.12 00:00	2014.04.14 00:00	101.642	101.853	101.155	101.875	102.595	103.315	104.034
167	2014.04.18 00:00	2014.04.19 00:00	102.422	102.420	101.037	101.794	102.551	103.309	104.066
168	2014.04.19 00:00	2014.04.21 00:00	102.420	102.564	101.059	101.812	102.565	103.317	104.070
169	2014.04.21 00:00	2014.04.22 00:00	102.564	102.598	101.053	101.805	102.556	103.308	104.060
170	2014.04.26 00:00	2014.04.28 00:00	102.193	102.587	101.194	101.736	102.278	102.819	103.361
171	2014.05.09 00:00	2014.05.10 00:00	101.711	101.785	101.554	101.871	102.189	102.506	102.823
172	2014.05.10 00:00	2014.05.12 00:00	101.785	102.115	101.508	101.836	102.165	102.493	102.822
173	2014.05.12 00:00	2014.05.13 00:00	102.115	102.226	101.503	101.826	102.150	102.473	102.796
174	2014.05.20 00:00	2014.05.21 00:00	101.342	101.489	101.098	101.491	101.884	102.277	102.669
175	2014.05.21 00:00	2014.05.22 00:00	101.489	101.665	101.096	101.462	101.829	102.195	102.562
176	2014.05.22 00:00	2014.05.23 00:00	101.665	101.822	101.128	101.456	101.785	102.113	102.442
177	2014.05.23 00:00	2014.05.24 00:00	101.822	101.956	101.132	101.450	101.768	102.086	102.404
178	2014.05.30 00:00	2014.05.31 00:00	101.726	101.731	101.200	101.455	101.710	101.965	102.220
179	2014.05.31 00:00	2014.06.02 00:00	101.731	102.163	101.208	101.462	101.716	101.970	102.224
180	2014.06.02 00:00	2014.06.03 00:00	102.163	102.423	101.195	101.467	101.739	102.011	102.283
181	2014.06.03 00:00	2014.06.04 00:00	102.423	102.634	101.150	101.460	101.771	102.081	102.391
182	2014.07.01 00:00	2014.07.02 00:00	101.526	101.759	101.249	101.574	101.898	102.222	102.546
183	2014.07.02 00:00	2014.07.03 00:00	101.759	102.188	101.281	101.570	101.858	102.147	102.436
184	2014.07.14 00:00	2014.07.15 00:00	101.573	101.695	101.082	101.383	101.685	101.986	102.288
185	2014.07.21 00:00	2014.07.22 00:00	101.323	101.498	101.044	101.318	101.592	101.867	102.141
186	2014.07.22 00:00	2014.07.23 00:00	101.498	101.520	101.047	101.321	101.594	101.868	102.141
187	2014.07.23 00:00	2014.07.24 00:00	101.520	101.787	101.073	101.339	101.605	101.871	102.137
188	2014.07.24 00:00	2014.07.25 00:00	101.787	101.817	101.082	101.350	101.618	101.886	102.154
189	2014.07.29 00:00	2014.07.30 00:00	102.132	102.805	101.140	101.364	101.588	101.811	102.035
190	2014.07.30 00:00	2014.07.31 00:00	102.805	102.820	100.947	101.291	101.636	101.980	102.325
191	2014.08.12 00:00	2014.08.13 00:00	102.188	102.460	101.231	101.671	102.112	102.553	102.993
192	2014.08.13 00:00	2014.08.14 00:00	102.460	102.444	101.354	101.762	102.169	102.576	102.984
193	2014.08.16 00:00	2014.08.18 00:00	102.357	102.552	101.628	101.957	102.287	102.616	102.945
194	2014.08.18 00:00	2014.08.19 00:00	102.552	102.821	101.692	102.008	102.323	102.639	102.955
